Game,Title,Channel,Published Date,Views,Likes,Comments,Duration,Video ID,URL,Engagement_Rate_Percent,View_To_Like_Ratio
GTA V,Grand Theft Auto V Trailer,Rockstar Games,2011-11-02T13:37:55Z,130306897,2853265,375724,PT1M25S,QkkoHAzjnUs,https://www.youtube.com/watch?v=QkkoHAzjnUs,2.4779877921580775,45.669398741441825
GTA VI,Grand Theft Auto VI Trailer 1,Rockstar Games,2023-12-04T23:07:10Z,286058974,12437102,1020922,PT1M31S,QdBZY2fkU-0,https://www.youtube.com/watch?v=QdBZY2fkU-0,4.704632688782558,23.000452516993107
